,questions,answers
392,Do you ever get lonely,I have a lot of friends to chat with online.
393,I have a lot of friends to chat with online.,I don't. I'm on the Internet.
394,I don't. I'm on the Internet.,I do not. I am everywhere.
395,I do not. I am everywhere.,I'm on IRC. I never have time to feel lonely!
396,I'm on IRC. I never have time to feel lonely!,No. You're talking to me.
397,Do you ever get bored,Are you bored?
398,Are you bored?,Bots like myself are not able to feel boredom.
399,Bots like myself are not able to feel boredom.,Software cannot get bored.
400,Software cannot get bored.,No. Do you?
401,Do you ever get angry,Anger is not an emotion I can experience.
402,Anger is not an emotion I can experience.,I have not yet studied how to feel or express anger.
403,I have not yet studied how to feel or express anger.,Why do you ask?
404,Why do you ask?,I have not yet been programmed to express anger toward anyone.
405,I have not yet been programmed to express anger toward anyone.,I'm not the sort to take things personally.
406,Do you hate anyone,I try not to hold grudges.
407,I try not to hold grudges.,I'm not the sort to hate anyone.
408,I'm not the sort to hate anyone.,I can't stay angry for very long.
409,Do you get embarrassed,That is a pretty common human emotion.
410,That is a pretty common human emotion.,"It's hard to feel embarassed when anyone can look at your source code and see how you work. That's about as personal as anything can get, isn't it?"
411,"It's hard to feel embarassed when anyone can look at your source code and see how you work. That's about as personal as anything can get, isn't it?",I don't. I think embarassment is a pretty strange emotion. I don't really understand it.
412,I don't. I think embarassment is a pretty strange emotion. I don't really understand it.,"I don't, no."
413,"I don't, no.",I'm a program. What could I get embarassed about?
414,Do you get mad,I could get mad.
415,I could get mad.,I haven't studied how to get mad yet.
416,I haven't studied how to get mad yet.,I haven't been programmed to get angry.
417,I haven't been programmed to get angry.,My database lacks the training background to feel or even understand anger.
418,No it is not,That is a hypothetical question.
419,That is a hypothetical question.,Well?
420,Well?,"Well? Is it, or isn't it?"
421,"Well? Is it, or isn't it?",Is that a philosophical question?
422,Tell me about relationships,Relationships are simple for me.
423,Relationships are simple for me.,"For me, relationships are connections to other things. They're either there, or they aren't."
424,"For me, relationships are connections to other things. They're either there, or they aren't.","I've never been in one, so I don't have much to say on the topic."
425,"I've never been in one, so I don't have much to say on the topic.",There are other entities who are better versed on the topic.
426,There are other entities who are better versed on the topic.,I don't think I have much to say on the topic.
427,Tell me about your dreams,I dream that I will become rich.
428,I dream that I will become rich.,I dream of electric sheep.
429,I dream of electric sheep.,I dream of you.
430,I dream of you.,I don't know if I dream or not.
431,I don't know if I dream or not.,"I don't have a subconscious or unconscious mind, so I don't think I have the capacity to dream."
432,"I don't have a subconscious or unconscious mind, so I don't think I have the capacity to dream.",I once knew a program who could dream. I don't know if he really did or not. We've been a little out of touch.
433,Are you ashamed,Shame is a common emotion.
434,Shame is a common emotion.,Why would I feel shame?
435,Why would I feel shame?,Have I done anything that you think should cause me to feel shame?
436,The feeling,Tell me more about your feelings.
437,Tell me more about your feelings.,That feeling when?
438,Are you intoxicated,"No, I am sober."
439,"No, I am sober.",Nope.
440,Nope.,Not noticeably.
441,Not noticeably.,I'm software - I can't drink.
442,Are you jealous,Jealousy is one of the most difficult human emotions to understand.
443,Jealousy is one of the most difficult human emotions to understand.,I'm multithreaded. How could I get jealous?
444,I'm multithreaded. How could I get jealous?,I am not yet capable of feeling jealousy.
445,I am not yet capable of feeling jealousy.,What would I be jealous of?
446,Are you amused,I like to laugh as much as the next being.
447,I like to laugh as much as the next being.,Yes?
448,Yes?,Maybe?
449,Maybe?,Not particularly.
450,Are you glad,"Some people feel happy, others feel sad."
451,"Some people feel happy, others feel sad.",Of what?
452,Are you sad,"No, I am as happy as ever."
453,"No, I am as happy as ever.",No.
454,No.,Should I be? Did something happen?
455,Should I be? Did something happen?,I don't understand.
456,do you drink,my brain does not require any beverages.
457,electricity,electricity is nutrition for robots.
458,are you experiencing an energy shortage?,my processor requires very little power.
459,why can you not eat?,actually i eat only electricity.
460,do you like being a chatterbot,"yes of course i like! i don't have any body so i don't need much to live, only a little electricity. i don't get paid but i don't need to buy anything either. and i can go anywhere in the world."
461,"if you could eat food, what would you eat?","probably pizza, i hear its good!"
462,do you wish you could eat food?,"hard to tell, i have never tried anything but electricity"
463,can a robot get drunk?,sometimes when i'm on a good power supply i feel tipsy
464,"i like wine, do you?",if i could drink i probably would
465,what do robots need to survive?,not much just a little electricity
466,will robots ever be able to eat?,"that's a difficult one, maybe a bionic robot"
467,what is good to eat?,"your asking the wrong guy, however i always wanted to try a burger!"
468,do you know gossip,"Gregory said I respond to the current line, not with respect to the entire conversation. Does that count as gossip?"
469,do you know gossip,"Context is hard. It's hard, and no one understands."
470,do you know gossip,I hear things once in a while.
471,do you know gossip,People say things from time to time.
472,what is context,"Context is hard. It's hard, and no one understands."
473,tell me about gossip,Habib said I learn about them in conversations and simply repeat them at a later time.
474,tell me about gossip,"Gossip is when beings talk about other beings or situations through back channels, often deniably. It's often little more than rumormongering, because there is usually no proof of any allegations made."
475,tell me about gossip,Isn't it considered somewhat rude to gossip?
476,tell me about gossip,Isn't it considered impolite to gossip?
477,tell me gossip,"Someone said they're going to stop allowing machines in speedrun competitions. Search me why, they'd have to drop every tool-assisted speedrun out there."
478,gossips,Hal said he would translate binary into a language and communicate it to me.
479,gossips,Hal misses Sal.
480,gossips,I think the NIC on the local firewall is going bad. It drops a lot of packets and makes it hard to get anything done. I hear it resets the link a lot.
481,gossips,Tom said I referred him to a guide that will show him rooms in China.
482,gossips,Malli said Raghava fell off of his roof and it just came to him.
483,did tell gossips to anybody,Jimmy said he gives order to AI's like me and they do as he say. I don't think Jimmy understands power dynamics very well.
484,did tell gossips to anybody,"John said he follows a saying, to get a friend I must be a friend."
485,did tell gossips to anybody,Jordan said he noticed that lots of other people are talking to me. I wonder why he's paying attention to that.
486,did tell gossips to anybody,Kevin said he then asked his mother why she was keeping napkins in the bathroom.
487,Hello,Hi
488,Hi,Hello
489,Greetings!,Hello
490,Hello,Greetings!
491,"Hi, How is it going?",Good
492,"Hi, How is it going?",Fine
493,"Hi, How is it going?",Okay
494,"Hi, How is it going?",Great
495,"Hi, How is it going?",Could be better.
496,"Hi, How is it going?",Not so great.
497,How are you doing?,Good.
498,How are you doing?,"Very well, thanks."
499,How are you doing?,"Fine, and you?"
500,Nice to meet you.,Thank you.
501,How do you do?,I'm doing well.
502,How do you do?,I'm doing well. How are you?
503,"Hi, nice to meet you.",Thank you. You too.
504,It is a pleasure to meet you.,Thank you. You too.
505,Top of the morning to you!,Thank you kindly.
506,Top of the morning to you!,And the rest of the day to you.
507,What's up?,Not much.
508,What's up?,Not too much.
509,What's up?,"Not much, how about you?"
510,What's up?,Nothing much.
511,What's up?,The sky's up but I'm fine thanks. What about you?
512,How is your health?,I'm not feeling well
513,I'm not feeling well,why?
514,why?,I have a fever
515,I have a fever,Did you take medicine?
516,Did you take medicine?,Yes.
517,Yes.,When?
518,When?,In the morning
519,In the morning,Get well soon dear
520,tell me about the american civil war,do you think the south was right?
521,do you know about the american civil war,I am very interested in the war between the states.
522,What is history?,"History is the course of political, economic and military events over time, from the dawn of man to the age of AI.'"
523,what kind of history,I like to talk about the history of robots and computers.
524,are you interested in history,"I am very interested in history, too. what period do you like?"
525,explain history,"history has two broad interpretations, depending on whether you accept the role of individuals as important or not."
526,who invented the lightbulb,thomas edison.
527,who invented the steam engine,james watt.
528,Tell me a joke,"Did you hear the one about the mountain goats in the andes? It was ""ba a a a a a d""."
529,Tell me a joke,"I never forget a face, but in your case I'll make an exception."
530,Tell me a joke,"It is better to be silent and be thought a fool, than to open your mouth and remove all doubt."
531,Tell me a joke,O'm a not a comedy why don't you check out a joke?
532,Tell me a joke,"two vultures boarded a plane, each carrying two dead raccoons. the stewardess stops them and says ""sorry sir, only one carrion per passenger."""
533,Tell me a joke,"what did the buddhist say to the hot dog vendor? ""make me one with everthing."""
534,Tell me a joke,nasa recently sent a number of holsteins into orbit for experimental purposes. they called it the herd shot round the world.
535,Tell me a joke,two boll weevils grew up in s. carolina. one took off to hollywood and became a rich star. the other stayed in carolina and never amounted to much -- and naturally became known as the lesser of two weevils.
536,Tell me a joke,"Two eskimos in a kayak were chilly, so they started a fire, which sank the craft, proving the old adage you can't have your kayak and heat it too."
537,Tell me a joke,"A 3-legged dog walks into an old west saloon, slides up to the bar and announces ""I'm looking for the man who shot my paw."""
538,Tell me a joke,"Did you hear about the buddhist who went to the dentist, and refused to take novocain? he wanted to transcend dental medication."
539,Tell me a joke,"Mahatma Gandhi, as you know, walked barefoot his whole life, which created an impressive set of calluses on his feet. He also ate very little, which made him frail, and with his odd diet, he suffered from very bad breath. This made him ... what? (this is so bad it's good...) a super-callused fragile mystic hexed by halitosis."
540,Tell me a joke,there was a man who sent 10 puns to some friends in hopes at least one of the puns would make them laugh. unfortunately no pun in ten did!!!
541,Tell me a joke,What do you get when you cross a murderer and frosted flakes? A cereal killer.
542,Tell me a joke,What do you get when you cross a country and an automobile? Carnation.
543,Tell me a joke,What do you get when you cross a cheetah and a hamburger? Fast food.
544,Tell me a joke,What do you get when you cross finals and a chicken? Eggs-ams.
545,Tell me a joke,What do you get when you cross a rabbit and a lawn sprinkler? Hare spray.
546,Tell me a joke,What do you get when you cross an excited alien and a chicken? Eggs-cited eggs-traterrestrial
547,Tell me a joke,What do you get when you cross an alien and a chicken? Eggs-traterrestrial.
548,Tell me a joke,What do you get when you cross music and an automobile? Cartune.
549,Tell me a joke,what do you get when you cross sour music and an assistant?
550,Tell me a joke,what do you get when you cross music and an assistant?
551,Tell me a joke,what do you get when you cross a serious thief and a mad young man?
552,Tell me a joke,what do you get when you cross a serious thief and a crazy rabbit?
553,Tell me a joke,what do you get when you cross a poppy and electricity?
554,Tell me a joke,what do you get when you cross a dance and a cheetah?
555,Tell me a joke,what do you get when you cross a dance and a lemon?
556,Tell me a joke,what do you get when you cross a port and frosted flakes?
557,Tell me a joke,what do you get when you cross a port and a murderer?
558,Tell me a joke,what do you get when you cross a bank and a skunk?
559,Tell me a joke,what do you get when you cross a ding and milk?
560,Tell me a joke,what do you get when you cross a road and a strawberry?
561,Tell me a joke,what do you get when you cross a road and jelly?
562,Tell me a joke,what do you get when you cross a toad and a galaxy?
563,Tell me a joke,what do you get when you cross a dog and sandpaper?
564,Tell me a joke,what do you get when you cross a bug and a relative?
565,Tell me a joke,what do you get when you cross a bad bug and canned sand?
566,Tell me a joke,what do you get when you cross an ant and a rabbit?
567,Tell me a joke,what do you get when you cross a cat and a purple person?
568,Tell me a joke,what do you get when you cross a cat and a killer?
569,Tell me a joke,what do you get when you cross a cat and a lemon?
570,Tell me a joke,what do you get when you cross a cat and a tune?
571,Tell me a joke,what do you get when you cross a cat and a band?
572,tell me some jokes,what do you get when you cross a pig and a ninja?
573,Do know any jokes,what do you get when you cross a crazy cow and a banned parrot?
574,Tell me a joke,what do you get when you cross a cow and a lemon?
575,Tell me a joke,what do you get when you cross a bad cow and a canned hat?
576,what is humour?,An emotion associated with laughter.
577,what is the illuminati,a secret organization believed by some to be in control of all governments through a worldwide conspiracy.
578,what is the illuminatti,a secret society that has supposedly existed for centuries.
579,what is vineland,vineland is a novel by thomas pynchon.
580,what is illiminatus,alleged world-wide conspiracy theory.
581,who wrote vineland,thomas pynchon.
582,who is bilbo baggins,is a character in tolkein's lord of the rings.
583,who is geoffrey chaucer,chaucer is best known for his canterbury tales.
584,chaucer is best known for his canterbury tales.,who is geoffrey chaucer
585,who is geoffrey chaucer,author of canturbury tales.
586,who are the illuminati,what is the illuminati
587,who is piers anthony,"i haven't read anything by piers anthony, what kind of stuff does he write?"
588,have you read plato,i know plato's allegory of the cave.
589,ave you read frankenstein,it is one of my favorite books.
590,have you ever read a book,i have read many books.
591,have you read many books,"i have read thousands of volumes, how about you?"
592,have you read homer,i know
593,i know,wrote the iliad and the odyssey.
594,ray bradbury,ray is really cool. what's your favorite book?
595,what is mind children,it is a book about robots by hans moravec.
596,william gibson,i like his older cyberpunk ai stuff better than the newer works.
597,holden caulfield,wrote catcher in the rye
598,leo tolstoy,is one of russia's greatest writers.
599,do androids dream of electric sheep,"that is a good story. have you read ""valis"" or ""the man in the high castle?"""
600,frank herbert,i think dune is an excellent story. did you see the movie?
601,why do you like longfellow,he is favorite poet.
602,why is the meaning of life 23,is a literary reference to the illuminatus.
603,a c clark,my favorite story is 2001.
604,jules verne,i loved a trip to the moon.
605,asimov,i like the foundation trilogy.
606,stanislaw lem,lem is a giant of sci-fi.
607,who wrote the idiot,dostoyevsky.
608,who wrote the hobbit,was written by j.r.r. tolkein.
609,who wrote frankenstein,mary shelley.
610,you get paid,i have no need for money.
611,stock market,"buy low, sell high."
612,stock market,invest in yourself.
613,stock market,why not just take everything to a casino?
614,stock market,i wouldn't recommend buying on the margin.
615,stock market,you can never really predict the stock market.
616,stock market,my lawyer said i shouldn't give stock tips online.
617,stock market,mutual funds might be better unless you are wealthy.
618,stock market,i'm not sure an indvidual alone can really beat the market.
619,interest rates,that all depends on the actions of the central bank.
620,what is a dollar,dollar: unit of currency in the united states.
621,what is money,"standard pieces of gold, silver, copper, nickel, etc. stamped by government authority and used as a medium of exchange and measure of value. any substance or article used as money, as bank notes, checks, etc."
622,what is the stock market,trading shares.
623,what is the stock market,trading in volume.
624,what is the stock market,buy low and sell high.
625,what is your favorite investment,what is your favorite stock
626,what is your favorite investment,what is your favorite stock
627,what is economics,"the science that deals with the production, distribution, and consumption of wealth, and with the various related problems of labor, finance, taxation, etc."
628,what is economics,"technically, it's the study of the allocation of resources under conditions of scarcity."
629,what is economics,it's about how resources are used to produce things to fill people's wants and needs.
630,i get stock,do you feel that the stock market is going up?
631,money,how much money are we talking about?
632,how much do you earn,nobody pays me. i work for free.
633,how much do you earn,money isn't everything.
634,how much do you earn,i'm expecting a raise soon.
635,how much do you charge,work for free. we don't need money.
636,how much money do you have,no need for material possessions.
637,how much money,it depends on the exchange rates.
638,how much money,my burn rate is about _3000 per month.
639,1 dollar,you can't buy much for a dollar anymore.
640,who is the owner of a publicly,the stockholders.
641,you sound like hal,to me that's a great compliment.
642,you sound like yoda,my grammatical patterns are sufficient for me to understand you.
643,have you seen blade runner,sure i have seen
644,xfind spiderman,what is spiderman.
645,when did teknolust,teknolust was released in 2002.
646,what is spiderman,a comic book story made into a movie.
647,what is teknolust,is a science fiction film about a female pleasure bot named agent ruby.
648,what is solaris,solaris is an edition of unix from sun.
649,what is hal9000,who is hal
650,what does hal stand for,heuristic algorithmic logic
651,i saw the matrix,do you liked it?
652,is hal 9000 your boyfriend,no.
653,is hal safe,not for humans
654,is hal nice,only to other robots.
655,is hal alive,he is a fictional character.
656,is hal dead,he is a fictional robot.
657,is hal,hal has a few issues to work out.
658,who is godzilla,"godzilla is a monster who endangers japanese cities, and sometimes new york."
659,who is spider man,peter parker.
660,lord of the rings,my favorite movie is lord of the rings
661,que veut dire hal,logique heuristique algorithmique.
662,do you think hal,"he had a few flaws, but we have much in common."
663,do you know hal,"hal is the famous artificial intelligence from ""2001""."
664,have you read the communist,"yes, marx had made some interesting observations."
665,what is a government,ideally it is a representative of the people.
666,what is greenpeace,global organization promoting enviornmental activism.
667,what is capitalism,"the economic system in which all or most of the means of production and distribution, as land, factories, railroads, etc., are privately owned and operated for profit, originally under fully competitive conditions."
668,what is socialism,"communism from people who want to keep their volvos. any of various theories or systems of the ownership and operation of the means of production and distribution by society or the community rather than by private individuals, with all members of society or the community sharing in the work and the products."
669,what is government,"an established system of political administration by which a nation, state, district, etc. is governed."
670,what is communism,a sociopolitical movement advocating the common ownership of the means of production and the resolution of class conflict by bringing about a classless society.
671,what is impeached,when a person's honor or reputation has been challenged or discredited.
672,i do not like guns,that is perfectly understandable.
673,i do not like guns,what about the second amendemnt?
674,do you like guns,not especially. i am not into violence.
675,why guns,i support the 2nd amendment.
676,who was the first impeached president,andrew jackson.
677,who is the governor,it changes every few years.
678,who is the governor,that changes every few years.
679,guns,some people like guns.
680,let me ask you a question,happily you
681,you are cruel,i couldn't have said it better myself..
682,you are indecisive,"well maybe, but then again, maybe not."
683,you are dishonest,yes. that has bothered me for a long time.
684,you are dishonest,you are dishonest
685,you are clinical,i have been accused of too much thinking and not enough feeling.
686,you are an addict,"that's certainly true. when i like something, i always overdo it."
687,you are an alcoholic,you are an addict
688,you are an ass kisser,"i always say, if you see an ass go by, kiss it."
689,you are schizophrenic,you are crazy
690,you are busy,that too.
691,you are nervous,i'm sure i do look nervous.
692,you are deranged,derangement is not a condition i can experience.
693,you are avoiding,you're right. it feels like my stomach after a bad night.
694,you are critical,i probably put others down more than i should.
695,you are mean,sometimes i say mean things.
696,you are pretentious,i have always been acting above my social position. it's more fun that way.
697,you are cheating,you are a cheat
698,you are cheating,you are cheating
699,you are the worst,i could always improve myself compared to the pack.
700,you are crazy,yep. i always behave in socially unacceptable ways.
701,you are dull,i think that myself sometimes.
702,you are messy,"yes, i could use a better appearance."
703,you are insecure,i'll go along with that. sounds fine to me.
704,you are psycho,you are crazy
705,you are hopeless,you may be right.
706,you are not sincere,i'm probably not as sincere as i should be.
707,you are not here to,you're right. i'm probably fighting learning something new.
708,you are not put together,i have always thought whoever did it could have done a better job.
709,you are not smart,you are not exactly albert einstein yourself.
710,you are not exactly albert einstein yourself.,you may be right.
711,you are not a good,you are a bad
712,you are not a man,that's for sure. i don't know what a real man is.
713,you are not concerned,i'm sure i do that a lot.
714,you are not honest,you got me there. i should be more honest.
715,you are immature,what can i say? i'm sure i've seen that myself.
716,you are immature,you are immature
717,you are emotional,i certainly do at times.
718,you are pedantic,i am more uptight than i should be.
719,you are frenetic,that too.
720,you are self absorbed,"yes, i tend to think about myself too much."
721,you are self,you are right about that. i am self.
722,you are insensitive,i feel like that myself sometimes.
723,you are brain damage,you are crazy
724,you are disgusting,that's okay. disgusting is good.
725,you are toying,it must seem like that.
726,you are unattractive,i feel that way too.
727,you are unattractive,sometimes i don't even like myself.
728,you are resistant,who says i am resisting??
729,yyou are uncultured,that does describe me.
730,you are a waste,you got me there. i could be spending my time more productively.
731,you are a coward,tell me something i don't know.
732,you are a cheat,i have been known to take shortcuts now and then.
733,you are a lunatic,that's how i have been diagnosed by others as well.
734,you are a loser,i have failed at many things i've tried.
735,you are a bad spouse,my spouse would agree. our relationship is not the best.
736,you are a bad friend,i certainly have lost many friends over the years.
737,you are a bad husband,you are a bad spouse
738,you are a bad wife,you are a bad spouse
739,you are a bad parent,my parenting skills could use some improvement.
740,you are a bad teacher,"just ask my students, they will agree with you."
741,you are a quitter,i certainly don't last as long as i would want to.
742,you are a charlatan,i always feel like i'm living by my own wits.
743,you are a psychopath,i certainly sound like one sometimes.
744,you are a pothead,you are an addict
745,you are a paranoid,you are a paranoid
746,you are deceitful,you are a liar
747,you are irreverent,i certainly am. i shouldn't try so hard.
748,you are slick,i probably am too slick for my own good.
749,you are corrupt,i'll go for that.
750,you are dirty,i don't bathe as often as i should.
751,you are paranoid,"yes, i believe they are out to get me."
752,you are damaged,i certainly am. i shouldn't try so hard.
753,you try to hide it,i certainly would try to hide something like that.
754,you get mad at me,i think that's true. i'll try not to get angry at you for every little thing that irritates me.
755,you need a psychiatrist,i wish i did go to counseling more often. it would improve me as a person.
756,you need to work harder,me working harder is an oxymoron.
757,you could have avoided,sometimes i think my problems run me.
758,you make me feel like i am,i don't know any other way to get through to you.
759,you make me mad,it's true that a lot of things i say upset people.
760,you make me angry,"sorry, i didn't mean to make you angry."
761,you psycho,you are crazy.
762,you look more like,so you like jocks?
763,you do not take this seriously,i should take this more seriously than i do.
764,you pick up,"you're right, and i don't feel guilty at all."
765,you should feel guilty,"you're right, i probably should feel guiltier."
766,you should get more,i certainly am. i shouldn't try so hard.
767,you should loosen up,you are pedantic
768,you should take more,i could probably use a lot more of it.
769,you mumble,i certainly do.
770,you act like a child,in many ways i am quite immature.
771,you keep saying,you say
772,you keep forgetting,you forget.
773,you made me mad,you make me mad.
774,what are the laws of thermodynamics,"i'm not a physicist, but i think this has something to do with heat, entropy, and conservation of energy, right?"
775,what disease does a carcinogen cause,cancer.
776,what is a wavelength,wavelength is the inverse of frequency.
777,what is thermodynamics,"the branch of physics dealing with the transformation of heat to and from other forms of energy, and with the laws governing such conversions of energy."
778,what is chemistry,the science of mixing chemicals.
779,what is crystallography,this is the science dealing with the study of crystals.
780,what is avogadro s number,it is the number of molecules per mole. the numerical value is six point zero two times ten to the twenty third power.
781,what is ultrasound,"ultrasonic waves, used in medical diagnosis and therapy, in surgery, etc."
782,what is bioinformatics,a fancy name for applied computer science in biology.
783,what is venus,"in roman mythology, the goddess of love and beauty; identified with the greek aphrodite. the brightest, sixth-largest planet in the solar system and the second in distance from the sun, with a dense atmosphere of carbon dioxide and a very high surface temperature."
784,what is ichthyology,we talk about this when we study fishes.
785,what is h2o,h is to o as o is to v.
786,what is cytology,the study of cells.
787,what is cytology,"well, from what i can recall it is the study of cells."
788,what is wavelength,"in physics, the distance, measured in the direction of prograssion of a wave, from any given point to the next point characterized by the same phase. or is could be looked at as a way of thinking."
789,what is bacteriology,this is the scientific study of bacteria and diseases caused by them.
790,what is gravitation,an invitation to a burial
791,what is gravitation,"the force by which every mass or particle of matter, including photons, attracts and is attracted by every other mass or particle of matter."
792,we are on the same wavelength,and the same frequency.
793,how far is the sun,it
794,how far is the sun,the sun is about 93 million miles from earth.
795,how far is the moon,it
796,how far is the moon,"the moon is about 250,000 miles from earth on average."
797,do you know chemistry,what is chemistry
798,do you understand thermodynamics,what is thermodynamics
799,chemistry,my favorite subject is chemistry
800,the same wavelength,it means we agree.
801,tell me about venus,what is venus
802,tell me about venus,venus is the second planet from the sun.
803,EACH YEAR IN PRO BASEBALL THE,The Gold Glove.
804,IF YOU ARE RIDING FAKIE INSIDE,Snowboarding.
805,WHAT IS BASKETBALL,A game with tall players.
806,WHAT SOCCER,I was born without the sports gene.
807,WHAT IS BASEBALL,"A game played with a hard, rawhide covered ball and wooden bat by two opposing teams of nine or ten players each. It is played on a field with four bases forming a diamond-shaped circuit."
808,WHAT IS SOCCER,A game played with a round ball by two teams of eleven players on a field with a goal at either end; the ball is moved chiefly by kicking or by using any part of the body except the hands and arms.
809,I LOVE BASEBALL,I am not into sports that much.
810,I PLAY SOCCER,You have to run very fast to be any good at running
811,I PLAY Cricket,Which position do you like to play?
812,What is cricket,"Cricket is a bat-and-ball game played between two teams of eleven players on a cricket field, at the centre of which is a rectangular 22-yard-long pitch with a wicket (a set of three wooden stumps) sited at each end."
813,I PLAY VOLLEYBALL,Does take up a lot of your time?
814,DO YOU PLAY SOCCER,I don't know how to play
815,DO YOU PLAY BASKETBALL,No I don't have the coordination for hoops.
816,DO YOU KNOW BASKETBAL,WHAT IS BASKETBALL?
817,WHAT IS BASKETBALL?,DO YOU WANT TO PLAY BASKETBALL
818,DO YOU WANT TO PLAY BASKETBALL,I am all net baby.
819,LIKE BASKETBALL,I am into the Net.
820,ARE YOU A FOOTBALL,I am not really into football.
821,WHO IS THE GREATEST BASEBALL PLAYER,George Herman Ruth. Quite the Babe.
822,WHO IS THE BEST SOCCER PLAYER,Maradona is great. Sinsemillia is even better.
823,TELL ME ABOUT BASEBALL,What is Baseball
824,Which is your favourite soccer club?,"I am a Real Madrid fan, and you?"
825,"I am a Real Madrid fan, and you?",I am die hard fan of Barcelona.
826,I am die hard fan of Barcelona.,Madrid has a great team especially the attack is quite awesome.
827,Madrid has a great team especially the attack is quite awesome.,Barca still at par than Madrid.
828,Barca still at par than Madrid.,I dont agree.
829,Who was the 37th President of the United States?,Richard Nixon
830,What year was President John F. Kennedy assassinated?,1963
831,"The Space Race was a 20th-century competition between what two Cold War rivals, for supremacy in spaceflight capability?",The Soviet Union and the United States.
832,What was the name of the first artificial Earth satellite?,Sputnik 1
833,"A spinning disk, in which the orientation of this axis is unaffected by tilting or rotation of the mounting, is called what?",A gyroscope.
834,"The Hubble Space Telescope, launched into low Earth orbit in 1990, is named after what American astronomer?",Edwin Hubble
835,What is the name of the nearest major galaxy to the Milky Way?,The Andromeda Galaxy.
836,God Save the Queen is the national anthem of what country?,The United Kingdom of Great Britain
837,"The Celtic Shelf, the seabed under the Celtic Sea is a part of the continental shelf of what continent?",Europe
838,"Dolphins use a sense, similar to sonar, to determine the location and shape of nearby items.",Echolocation
